dam_size_gb,local_capacity_gb,query_id,migration_duration_ns
5.0,2.5,20,1518700353.8999999
5.0,2.5,21,218710808.89999998
5.0,2.5,22,47029492.8
7.5,0.75,1,33308719.6
7.5,0.75,2,122363683.0
7.5,0.75,3,43933050.3
7.5,0.75,4,36201684.0
7.5,0.75,5,36676852.7
7.5,0.75,6,33055376.799999997
7.5,0.75,7,44169921.7
7.5,0.75,8,50491540.60000001
7.5,0.75,9,40139991.5
7.5,0.75,10,34964866.800000004
7.5,0.75,11,38489361.0
7.5,0.75,12,37855902.9
7.5,0.75,13,41407469.7
7.5,0.75,14,22992982.6
7.5,0.75,16,95796869.69999999
7.5,0.75,17,21644555.9
7.5,0.75,18,34612806.6
7.5,0.75,19,39988842.9
7.5,0.75,20,124714047.99999999
7.5,0.75,21,102938967.60000001
7.5,0.75,22,44245453.7
7.5,1.5,1,82841338.9
7.5,1.5,2,122363683.0
7.5,1.5,3,85427434.4
7.5,1.5,4,83192896.0
7.5,1.5,5,83668064.7
7.5,1.5,6,72176511.5
7.5,1.5,7,83791572.2
7.5,1.5,8,83046401.60000001
7.5,1.5,9,82650923.6
7.5,1.5,10,81956078.8
7.5,1.5,11,38489361.00000001
7.5,1.5,12,77323729.2
7.5,1.5,13,41407469.7
7.5,1.5,14,78696020.5
7.5,1.5,16,95796869.7
7.5,1.5,17,21644555.9
7.5,1.5,18,81604018.6
7.5,1.5,19,73044219.7
7.5,1.5,20,166417710.7
7.5,1.5,21,149930179.60000002
7.5,1.5,22,47029492.8
7.5,2.25,1,82841338.9
7.5,2.25,2,122363683.0
7.5,2.25,3,125200249.9
7.5,2.25,4,122113543.2
7.5,2.25,5,126074405.10000001
7.5,2.25,6,88758414.69999999
7.5,2.25,7,116346433.19999999
7.5,2.25,8,133548713.29999998
7.5,2.25,9,127875377.8
7.5,2.25,10,114510939.8
7.5,2.25,11,38489361.00000001
7.5,2.25,12,93405116.6
7.5,2.25,13,41407469.7
7.5,2.25,14,78696020.5
7.5,2.25,16,95796869.69999999
7.5,2.25,17,114579435.5
7.5,2.25,18,120040241.0
7.5,2.25,19,127861548.89999999
7.5,2.25,20,1502118450.6999998
7.5,2.25,21,204932214.2
7.5,2.25,22,47029492.8
7.5,3.0,1,138544376.8
7.5,3.0,2,122363683.0
7.5,3.0,3,164658203.6
7.5,3.0,4,138194930.6
7.5,3.0,5,171116101.1
7.5,3.0,6,88758414.7
7.5,3.0,7,165893945.7
7.5,3.0,8,175981281.20000002
7.5,3.0,9,173003275.2
7.5,3.0,10,137887506.09999996
7.5,3.0,11,38489361.0
7.5,3.0,12,148407151.20000002
7.5,3.0,13,41407469.7
7.5,3.0,14,171630900.1
7.5,3.0,16,95796869.7
7.5,3.0,17,114579435.5
7.5,3.0,18,145411135.6
7.5,3.0,19,165979099.29999998
7.5,3.0,20,170113993.6
7.5,3.0,21,239327732.0
7.5,3.0,22,47029492.800000004
7.5,3.75,1,175278088.7
7.5,3.75,2,122363683.0
7.5,3.75,3,181131677.2
7.5,3.75,4,193744144.3
7.5,3.75,6,181195164.49999997
7.5,3.75,7,205743985.59999996
7.5,3.75,8,206499019.59999996
7.5,3.75,9,192167706.39999998
7.5,3.75,10,206947689.6
7.5,3.75,11,38489361.00000001
7.5,3.75,12,204110189.1
7.5,3.75,13,41407469.7
7.5,3.75,14,171630900.1
7.5,3.75,16,95796869.7
7.5,3.75,17,207016185.29999998
7.5,3.75,18,145411135.60000002
7.5,3.75,19,165979099.29999998
7.5,3.75,20,1508397261.6
7.5,3.75,21,278248379.2
7.5,3.75,22,47029492.8
10.0,1.0,1,49782193.2
10.0,1.0,2,122363683.0
10.0,1.0,3,54437555.900000006
10.0,1.0,4,52051852.5
10.0,1.0,5,52527021.2
10.0,1.0,6,55703037.9
10.0,1.0,7,58465489.9
10.0,1.0,8,63990400.00000001
10.0,1.0,9,51117793.900000006
10.0,1.0,10,51438340.4
10.0,1.0,11,38489361.0
10.0,1.0,12,55549213.7
10.0,1.0,13,41407469.7
10.0,1.0,14,59640018.9
10.0,1.0,16,95796869.69999999
10.0,1.0,17,21644555.9
10.0,1.0,18,48940728.0
10.0,1.0,19,56570746.099999994
10.0,1.0,20,57404496.2
10.0,1.0,21,133848792.2
10.0,1.0,22,47029492.8
10.0,2.0,1,82841338.89999999
10.0,2.0,2,122363683.00000001
10.0,2.0,3,110140593.8
10.0,2.0,4,83192896.0
10.0,2.0,5,109993017.70000002
10.0,2.0,6,88758414.7
10.0,2.0,7,99872959.6
10.0,2.0,8,117467325.89999999
10.0,2.0,9,112325333.99999999
10.0,2.0,10,114510939.80000001
10.0,2.0,11,38489361.00000001
10.0,2.0,12,93405116.6
10.0,2.0,13,41407469.7
10.0,2.0,14,78696020.5
10.0,2.0,16,95796869.69999999
10.0,2.0,17,113354507.5
10.0,2.0,18,96663674.7
10.0,2.0,19,73044219.7
10.0,2.0,20,1489055026.6
10.0,2.0,21,188850826.8
10.0,2.0,22,47029492.8
10.0,3.0,1,138544376.8
10.0,3.0,2,122363683.0
10.0,3.0,3,164658203.59999996
10.0,3.0,4,138194930.6
10.0,3.0,5,171116101.1
10.0,3.0,6,88758414.7
10.0,3.0,7,165893945.7
10.0,3.0,8,175981281.2
10.0,3.0,9,173003275.19999996
10.0,3.0,10,137887506.1
10.0,3.0,11,38489361.00000001
10.0,3.0,12,148407151.2
10.0,3.0,13,41407469.7
10.0,3.0,14,171630900.1
10.0,3.0,16,95796869.69999999
10.0,3.0,17,114579435.5
10.0,3.0,18,145411135.6
10.0,3.0,19,165979099.3
10.0,3.0,20,170113993.6
