query_id,dam_size_gb,table_size_gb,migration_size_gb,migration_duration_ns
10,12.5,3.75,3.614087576046586,104988594.0
10,12.5,5.0,4.031266322359443,117023126.0
10,12.5,6.25,4.031266322359443,116815184.0
11,2.5,0.25,0.22590452153235674,7364945.0
11,2.5,0.5,0.43500347156077623,13426991.0
11,2.5,0.75,0.6188565166667104,18820594.0
11,2.5,1.0,0.6188565166667104,18783374.0
11,2.5,1.25,0.6188565166667104,18655576.0
11,5.0,0.5,0.43500347156077623,13513931.0
11,5.0,1.0,0.6188565166667104,18730964.0
11,5.0,1.5,0.6188565166667104,18715225.0
11,5.0,2.0,0.6188565166667104,18768163.0
11,5.0,2.5,0.6188565166667104,18731623.0
11,7.5,0.75,0.6188565166667104,18734104.0
11,7.5,1.5,0.6188565166667104,18726523.0
11,7.5,2.25,0.6188565166667104,18804122.0
11,7.5,3.0,0.6188565166667104,18744233.0
11,7.5,3.75,0.6188565166667104,18725612.0
11,10.0,1.0,0.6188565166667104,19071927.0
11,10.0,2.0,0.6188565166667104,18710899.0
11,10.0,3.0,0.6188565166667104,18811159.0
11,10.0,4.0,0.6188565166667104,18768718.0
11,10.0,5.0,0.6188565166667104,18750758.0
11,12.5,1.25,0.6188565166667104,18771877.0
11,12.5,2.5,0.6188565166667104,18756587.0
11,12.5,3.75,0.6188565166667104,18725327.0
11,12.5,5.0,0.6188565166667104,18744646.0
11,12.5,6.25,0.6188565166667104,18750715.0
12,2.5,0.25,0.07019896060228348,3550779.0
12,2.5,0.5,0.3513406915590167,11472948.0
12,2.5,0.75,0.6309336749836802,19328430.0
12,2.5,1.0,0.9904672633856535,29708458.0
12,2.5,1.25,1.060666223987937,31692660.0
12,5.0,0.5,0.3513406915590167,11403229.0
12,5.0,1.0,0.9904672633856535,29652268.0
12,5.0,1.5,1.3418079549446702,40071695.0
12,5.0,2.0,1.6214009383693337,47976114.0
12,5.0,2.5,2.460024061612785,72166260.0
12,7.5,0.75,0.6309336749836802,19255948.0
12,7.5,1.5,1.3418079549446702,39980204.0
12,7.5,2.25,1.6214009383693337,48102711.0
12,7.5,3.0,2.6006779139861465,76539237.0
12,7.5,3.75,3.589442868717015,104956651.0
12,10.0,1.0,0.9904672633856535,29997653.0
12,10.0,2.0,1.6214009383693337,47974639.0
12,10.0,3.0,2.6006779139861465,76680231.0
12,10.0,4.0,3.589442868717015,104943715.0
12,10.0,5.0,4.428065991960466,129143583.0
12,12.5,1.25,1.060666223987937,31788164.0
12,12.5,2.5,2.460024061612785,79319031.0
12,12.5,3.75,3.589442868717015,105135953.0
12,12.5,5.0,4.428065991960466,129408647.0
12,12.5,6.25,4.428065991960466,129196405.0
13,2.5,0.25,0.02795938402414322,2602138.0
13,2.5,0.5,0.4451381303369999,13705759.0
13,2.5,0.75,0.7247311137616634,21736889.0
13,2.5,1.0,0.7247311137616634,21717558.0
13,2.5,1.25,0.7247311137616634,21679509.0
13,5.0,0.5,0.4451381303369999,13660679.0
13,5.0,1.0,0.7247311137616634,21711638.0
13,5.0,1.5,0.7247311137616634,21717708.0
13,5.0,2.0,0.7247311137616634,21708887.0
13,5.0,2.5,0.7247311137616634,21734867.0
13,7.5,0.75,0.7247311137616634,21683857.0
13,7.5,1.5,0.7247311137616634,21691427.0
13,7.5,2.25,0.7247311137616634,21770616.0
13,7.5,3.0,0.7247311137616634,21796455.0
13,7.5,3.75,0.7247311137616634,21697846.0
13,10.0,1.0,0.7247311137616634,22044001.0
13,10.0,2.0,0.7247311137616634,21644685.0
13,10.0,3.0,0.7247311137616634,21724163.0
13,10.0,4.0,0.7247311137616634,23131011.0
13,10.0,5.0,0.7247311137616634,21727022.0
13,12.5,1.25,0.7247311137616634,21797941.0
13,12.5,2.5,0.7247311137616634,21685152.0
13,12.5,3.75,0.7247311137616634,21750270.0
13,12.5,5.0,0.7247311137616634,21654151.0
13,12.5,6.25,0.7247311137616634,21701830.0
14,2.5,0.25,0.047927215695381165,4532590.0
14,2.5,0.5,0.32792630326002836,12162743.0
14,2.5,0.75,0.32792630326002836,13385372.0
14,2.5,1.0,0.9994130488485098,32246325.0
14,2.5,1.25,1.0366921704262495,31727030.0
14,5.0,0.5,0.32792630326002836,11918764.0
14,5.0,1.0,0.9994130488485098,31861279.0
14,5.0,1.5,1.3166912579908967,39717949.0
14,5.0,2.0,1.3166912579908967,39336591.0
14,5.0,2.5,1.3166912579908967,39308871.0
14,7.5,0.75,0.32792630326002836,12098413.0
14,7.5,1.5,1.3166912579908967,39297281.0
14,7.5,2.25,1.3166912579908967,39493288.0
14,7.5,3.0,2.9898701859638095,87392180.0
14,7.5,3.75,2.9898701859638095,87203830.0
14,10.0,1.0,0.9994130488485098,32372953.0
14,10.0,2.0,1.3166912579908967,39951637.0
14,10.0,3.0,2.9898701859638095,87226860.0
14,10.0,4.0,2.9898701859638095,87220178.0
14,10.0,5.0,4.647855666466057,134541605.0
14,12.5,1.25,1.0366921704262495,31371238.0
14,12.5,2.5,1.3166912579908967,39692195.0
